metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
28 4 642.6 15.45 13.0 21.7
28 4 692.1 15.20 12.0 21.2
28 4 790.9 14.70 11.0 20.4
28 4 889.8 14.30 10.0 19.5
28 4 988.7 13.90 10.0 18.6
28 4 1087.5 13.50 9.0 17.7
28 4 1186.4 13.16 9.6 16.9
28 4 1285.3 12.70 10.0 16.2
28 4 1384.1 12.20 11.0 15.7
28 4 1483.0 11.60 12.0 15.3
28 4 1730.2 10.30 14.0 14.6
28 4 1977.3 8.75 12.0 13.9
28 4 2224.5 6.80 8.0 12.8
28 4 2471.7 5.50 6.0 11.5
28 4 2718.8 4.70 2.0 10.1
29 5 9.9 4.69 36.0 25.5
29 5 24.7 6.09 36.0 25.4
29 5 49.4 7.44 36.0 25.3
29 5 74.2 8.34 35.0 25.2
29 5 98.9 9.04 35.0 25.0
29 5 148.3 10.10 34.0 24.6
29 5 197.7 11.04 32.5 24.2
29 5 247.2 11.90 31.0 23.9
29 5 296.6 12.60 30.0 23.5
29 5 346.0 13.30 28.0 23.1
29 5 395.5 14.10 26.0 22.7
29 5 444.9 14.90 24.0 22.4
29 5 494.3 16.10 19.0 22.2
29 5 543.8 16.25 14.9 22.0
29 5 593.2 15.90 12.0 21.7
29 5 642.6 15.50 10.0 21.3
29 5 692.1 15.15 9.0 20.9
29 5 790.9 14.50 7.0 20.1
29 5 889.8 13.90 6.0 19.3
29 5 988.7 13.40 5.0 18.4
29 5 1087.5 12.90 4.0 17.6
29 5 1186.4 12.40 3.0 16.8
29 5 1285.3 11.90 3.0 16.2
29 5 1384.1 11.40 4.0 15.8
29 5 1483.0 10.85 6.0 15.4
29 5 1730.2 9.50 7.0 14.8
29 5 1977.3 8.05 2.9 14.1
29 5 2224.5 6.49 357.0 13.1
29 5 2471.7 5.50 355.0 11.7
29 5 2718.8 4.90 351.0 10.2
30 6 9.9 4.59 39.0 24.8
30 6 24.7 6.04 38.0 24.8
30 6 49.4 7.39 38.0 24.7
30 6 74.2 8.29 37.0 24.5
30 6 98.9 8.99 36.0 24.4
30 6 148.3 10.09 35.0 24.0
30 6 197.7 10.90 34.0 23.6
30 6 247.2 11.70 33.0 23.2
30 6 296.6 12.40 31.0 22.8
30 6 346.0 13.00 30.0 22.5
30 6 395.5 13.70 27.9 22.1
30 6 444.9 14.50 24.9 21.8
30 6 494.3 15.60 19.0 21.7
30 6 543.8 16.10 14.0 21.5
30 6 593.2 15.80 10.0 21.4
30 6 642.6 15.30 7.0 21.1
30 6 692.1 14.86 6.0 20.7
30 6 790.9 14.10 3.0 20.0
30 6 889.8 13.46 1.0 19.2
30 6 988.7 12.80 359.0 18.4
30 6 1087.5 12.20 357.0 17.5
30 6 1186.4 11.66 356.0 16.8
30 6 1285.3 11.10 356.0 16.3
30 6 1384.1 10.55 356.0 15.9
30 6 1483.0 10.00 357.0 15.5
30 6 1730.2 8.70 355.9 15.0
30 6 1977.3 7.39 348.9 14.3
30 6 2224.5 6.19 343.0 13.2
30 6 2471.7 5.55 341.0 11.8
30 6 2718.8 5.20 338.0 10.3
