metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
11 11 148.3 4.16 39.5 25.6
11 11 197.7 4.36 39.0 25.2
11 11 247.2 4.51 38.0 24.7
11 11 296.6 4.70 38.0 24.3
11 11 346.0 4.90 37.5 23.8
11 11 395.5 5.01 37.0 23.4
11 11 444.9 5.35 37.0 23.0
11 11 494.3 5.80 37.4 22.8
11 11 543.8 6.11 38.0 22.5
11 11 593.2 6.41 37.0 22.3
11 11 642.6 6.70 36.4 22.0
11 11 692.1 6.91 35.0 21.8
11 11 790.9 7.41 33.4 21.1
11 11 889.8 7.80 33.0 20.7
11 11 988.7 7.91 32.5 19.9
11 11 1087.5 8.00 32.0 19.0
11 11 1186.4 7.90 30.0 18.1
11 11 1285.3 7.80 28.0 17.3
11 11 1384.1 7.70 27.0 16.6
11 11 1483.0 7.60 26.0 16.0
11 11 1730.2 7.20 24.9 14.6
11 11 1977.3 6.70 22.0 12.5
11 11 2224.5 6.00 17.9 10.9
11 11 2471.7 5.25 6.9 9.3
11 11 2718.8 4.90 348.0 8.0
12 12 9.9 3.09 48.5 28.3
12 12 24.7 3.30 48.6 28.1
12 12 49.4 3.60 48.6 27.8
12 12 74.2 3.84 48.5 27.5
12 12 98.9 4.00 48.0 27.2
12 12 148.3 4.30 47.6 26.7
12 12 197.7 4.54 47.5 26.3
12 12 247.2 4.80 47.0 25.8
12 12 296.6 5.00 47.0 25.3
12 12 346.0 5.20 46.6 24.8
12 12 395.5 5.40 46.1 24.4
12 12 444.9 5.55 46.0 23.9
12 12 494.3 5.71 45.1 23.4
12 12 543.8 5.91 45.0 23.0
12 12 593.2 6.11 44.5 22.5
12 12 642.6 6.31 44.0 22.1
12 12 692.1 6.51 43.5 21.6
12 12 790.9 7.01 42.0 20.8
12 12 889.8 7.51 39.4 20.1
12 12 988.7 7.91 37.4 19.5
12 12 1087.5 8.20 35.0 18.9
12 12 1186.4 8.21 31.9 18.2
12 12 1285.3 8.10 29.0 17.6
12 12 1384.1 7.90 27.0 16.9
12 12 1483.0 7.60 26.0 16.3
12 12 1730.2 6.90 25.0 14.7
12 12 1977.3 6.15 21.0 12.6
12 12 2224.5 5.40 13.0 11.2
12 12 2471.7 4.70 359.0 9.5
12 12 2718.8 4.50 343.5 8.2
13 13 9.9 4.99 49.1 30.2
13 13 24.7 5.14 49.1 29.9
13 13 49.4 5.39 49.1 29.5
13 13 74.2 5.54 49.1 29.1
13 13 98.9 5.74 49.0 28.8
13 13 148.3 5.94 49.0 28.2
13 13 197.7 6.15 49.0 27.6
13 13 247.2 6.30 49.0 27.1
13 13 296.6 6.40 48.5 26.6
