"Fly","Distance","Acceleration","A_insect","Max_speed","Flight_time","Longest_flight","N_flights","Last_flight_end","F_counts","R_counts","dom_dir","Residual_mov","Behav_rep","Behav_add","DCh_dir_skip","DCh_time_shift","DCh_rec_miss","DCh_rec_add","DCh_unfixed","peaks1N","peaks1T","peaks2N","peaks2T","Percent_flying","Mean_speed","Total_dist","FR_ratio","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0929mill2",235.31316136,0.00155886401251279,0.0712035852038989,0.867660209088734,637.895012335999,99.8588414979999,25,13794.14651884,105,7629,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.070939
7.0      0.157003
16.0     0.155812
23.0     0.190330
32.0     0.046881
38.0     0.022457
39.0     0.144531
45.0     0.138515
48.0     0.192775
51.0     0.064075
52.0     0.035822
53.0     0.095666
57.0     0.004421
60.0     0.164006
91.0     0.456898
93.0     0.087925
99.0     0.105471
109.0    0.159100
142.0    0.295337
177.0    0.405384
210.0    0.262158
241.0    0.509738
318.0    0.312929
351.0    0.489268
381.0    0.216336
Name: Residual_mov, dtype: float64>",1.62000207545337,0.00624002613304959,0,0,0,0,1,0,0,16,27,4.42982647455555,0.368890110142535,7524,72.6571428571429,"21 Autumn","W","A",926,"fms",18.8,19.6,1417
"0929mill3",10890.5673688,-6.02655465357309e-05,0.608264459523158,2.47748929533376,8080.597897712,6026.408245312,5,13229.816368414,17,308178,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0    -0.178524
7.0     0.734202
19.0    0.711353
31.0    0.660679
44.0    0.654443
Name: Residual_mov, dtype: float64>",2.02508576128911,0.00658993463046385,325,7,6,0,1,722,1443,14471,28861,56.1152631785556,1.3477427668915,308161,18128.1176470588,"21 Autumn","W","A",926,"ffa",18.8,19.6,1435
"0929mill4",6328.04379724,0.000343430475920306,0.90696929074906,2.30971862765656,3924.435073428,1805.709838753,10,13913.562715633,17,179089,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     0.389758
11.0    0.810823
18.0    0.700313
23.0    0.672219
27.0    0.535692
31.0    0.463802
40.0    0.589945
46.0    0.492456
51.0    0.577003
55.0    0.464206
Name: Residual_mov, dtype: float64>",1.21846208793153,0.00157457213493356,153,4,0,0,1,178,356,330,574,27.25302134325,1.61247254161156,179072,10534.6470588235,"21 Autumn","W","A",926,"fma",18.8,19.6,1409
"0930mill1",1074.99025472,0.00255625816723513,0.386305173044831,2.08013977810414,1142.14267966801,357.170261475,30,12825.579171237,96,32889,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.343139
4.0      0.226595
7.0      0.271589
9.0      0.076121
10.0     0.146818
14.0     0.402661
20.0     0.431358
24.0     0.481301
51.0     0.452812
68.0     0.423877
97.0     0.235940
123.0    0.470319
149.0    0.697051
153.0    0.427760
179.0    0.398144
196.0    0.740696
201.0    0.461816
210.0    0.506196
268.0    0.593705
290.0    0.424853
299.0    0.453249
348.0    0.647883
370.0    0.573624
398.0    0.700688
405.0    0.155408
413.0    0.457282
442.0    0.417035
450.0    0.548080
465.0    0.577414
484.0    0.613862
Name: Residual_mov, dtype: float64>",1.21274040684341,0.001254457284946,16,1,0,0,4,12,24,80,60,7.93154638658338,0.941204872085223,32793,342.59375,"21 Autumn","W","A",926,"mfa",17.8,19,1334
"0930mill2",723.50491532,0.00162280971506732,0.543837744476166,2.35355395037726,669.349184959999,234.065244599,25,14264.805089406,22207,135,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0      0.253334
3.0     -0.775601
28.0     0.657652
57.0     0.503095
155.0    0.394108
182.0    0.445019
210.0    0.460552
256.0    0.424764
290.0    0.258582
320.0    0.147644
336.0    0.422850
368.0    0.406996
401.0    0.286921
432.0    0.423542
445.0    0.396292
462.0    0.437263
531.0    0.206080
547.0    0.283999
577.0    0.450860
595.0    0.302409
639.0    0.046355
653.0    0.420293
669.0    0.435677
707.0    0.067409
735.0    0.343363
Name: Residual_mov, dtype: float64>",1.55555206281824,0.00500159587778377,0,32,0,0,2,32,64,647,1275,4.64825822888888,1.08090803959556,22072,164.496296296296,"21 Autumn","W","A",926,"mma",17.8,19,1331
"0930mill3",1363.07039564,0.00189362639554297,0.333604281338363,1.9361582382363,1523.866533989,370.967964522999,23,12982.573900902,44851,72,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
92.0     0.461923
135.0    0.748622
142.0    0.712189
150.0    0.392725
152.0    0.135933
180.0    0.550153
185.0    0.358816
216.0    0.515206
220.0    0.205915
226.0    0.142532
238.0    0.310954
252.0    0.406539
259.0    0.090628
309.0    0.404993
325.0    0.652845
334.0    0.437161
391.0    0.295894
460.0    0.354584
509.0    0.483708
583.0    0.266057
697.0    0.023027
704.0    0.241194
738.0    0.365950
Name: Residual_mov, dtype: float64>",1.17509609130006,0.00136502354053924,0,31,0,1,3,19,38,526,1004,10.5824064860347,0.894481481965427,44779,622.930555555556,"21 Autumn","W","A",926,"ffa",17.8,19,1329
"0930mill4",1587.21519428,-0.000524374961070603,0.594511172569982,1.93745320817209,1157.140327944,1157.140327944,1,1157.273387661,0,45344,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0   -0.092235
Name: Residual_mov, dtype: float64>",1.33093794904756,0.00202304215811225,39,2,1,0,0,42,84,69,110,8.03569672183333,1.37167044994461,45344,Inf,"21 Autumn","W","A",926,"fma",17.8,19,1323
"1001mill1",23.39701304,0.00624620354658457,0.0541355685005645,0.416273441700463,83.2187624549997,19.0290058340001,5,5092.095993956,8,6913,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
319.0     0.548789
421.0     0.112356
1052.0   -0.000799
1138.0    0.364023
1277.0    0.245096
Name: Residual_mov, dtype: float64>",1.04368204782391,9.2602260675146e-05,0,0,0,1,2,0,0,31,0,0.577908072604165,0.281150696667135,6905,864.125,"21 Autumn","W","A",926,"fms",18.2,18.6,1313
"1001mill2",246.58755284,0.00579018743431573,0.0867217993674259,0.950191544477802,593.299090919002,38.106573133,24,13821.022011327,8199,146,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
85.0     0.642275
126.0    0.624304
138.0    0.510820
177.0    0.634159
198.0    0.492386
225.0    0.545225
252.0    0.552608
276.0    0.512454
304.0    0.575517
328.0    0.517883
357.0    0.608347
385.0    0.550905
410.0    0.548532
437.0    0.548855
452.0    0.458252
479.0    0.536499
509.0    0.524500
536.0    0.519751
553.0    0.480880
569.0    0.544599
599.0    0.512071
629.0    0.533271
659.0    0.552023
687.0    0.456738
Name: Residual_mov, dtype: float64>",1.12496533671839,0.000924616142897367,0,0,0,0,6,0,0,8,0,4.1201325758264,0.415620985459532,8053,56.1575342465753,"21 Autumn","W","A",926,"fms",18.2,18.6,1316
"1001mill3",5412.02599668,-2.77529478366494e-05,0.627743865419625,1.97561085652718,3899.433636152,1383.717866587,13,13666.013658571,43,153294,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.337194
11.0     0.784444
18.0     0.727177
26.0     0.682579
30.0     0.680258
37.0     0.685579
41.0     0.739588
55.0     0.783326
72.0     0.814833
89.0     0.793607
100.0    0.802128
103.0    0.523762
112.0    0.738420
Name: Residual_mov, dtype: float64>",1.89259321804955,0.00599524636661901,35,1,1,0,0,33,66,5733,11436,27.0794002510556,1.38790052650329,153251,3564.97674418605,"21 Autumn","W","A",926,"fma",18.2,18.6,1318
"1001mill4",54.03932468,0.00435975073726656,0.0708970551846425,0.669021493962942,148.017651783999,19.9416615120003,11,14278.438619817,26,4608,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.106899
140.0    0.281577
242.0    0.514370
254.0    0.321845
459.0    0.427760
470.0    0.383029
492.0    0.325170
504.0    0.423842
512.0    0.394258
524.0    0.250897
561.0    0.415498
Name: Residual_mov, dtype: float64>",0.779251529294781,-0.00427927897572037,0,0,0,0,3,0,0,42,0,1.0279003596111,0.365087028666414,4582,177.230769230769,"21 Autumn","W","A",926,"fts",18.2,18.6,1347
