"Fly","flight","Count","Speed_mean","Speed_std","Speed_min","Speed_25%","Speed_50%","Speed_75%","Speed_max","Distance","Duration","Accel_mean","A_insect_mean","Residual_mov","T_start","T_end","Speed","Acceleration","A_insect","Behav_rep","Behav_add","dom_dir","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0705mill1",2,27942,1.42251862275846,0.285386886864442,0.214103614308954,1.20859599381281,1.41077162472837,1.58435060453854,3.26392911009339,987.55187064,723.807265542,0.0035186039561443,0.672010459164469,-1.00532754789436,0.0431993059999626,723.850464848,1.36527718901229,-0.00407866077108022,0.603793862602644,2.10763674764419,0.00979887561092909,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",7,159,0.528637028331826,0.147115259432099,0.131971442124246,0.407263119692264,0.525735408789021,0.661288453605499,0.765488909230671,5.61952428,11.5104590650001,0.0169016156967843,0.129227777033745,0.632104894488455,731.332347744,742.842806809,0.481867363082473,0.0143800003252725,0.113887690243592,0.731865606571138,-0.00790245870871691,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",28,158,0.44145342034296,0.148730275392941,0.20287693404765,0.309578905734588,0.427172504728002,0.6014542192349,0.680632168270541,5.58418136,14.213234415,0.0135336980751019,0.102132268087598,0.632564184749283,776.392278318,790.605512733,0.389696882541374,0.00820330271871551,0.0836989118288746,0.684305801899948,-0.00961830455338362,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",38,331,0.591680893425525,0.145408171929626,0.105930056199091,0.516149770583374,0.570321035895869,0.71943238470308,0.861391798703882,11.69850652,21.0868159240001,0.00865572728052685,0.140109710105804,0.541515908229005,854.452191568,875.539007492,0.549995517025553,0.00880156989381632,0.12785537559235,1.20862468006419,0.0033530276274691,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",57,181,0.517541591634671,0.143222439927242,0.105354407638052,0.401824739007783,0.570590221771352,0.621840504654187,0.715907615583639,6.39706852,13.5550115420001,0.0139937513163451,0.122793010017893,0.564965441935955,945.373165991,958.928177533,0.465100219825199,0.0126318506174864,0.107851450351163,1.02619314390849,0.000567231014519301,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",83,955,1.01297370276569,0.323027269071721,0.120395339839992,0.839456961589169,1.05931755414869,1.28341410648361,1.56048549521851,33.7524886,39.134557913,0.0055135498894925,0.347782946350183,0.246099865113846,994.064400728,1033.198958641,0.857065390815343,0.00202426259934831,0.270487199422218,1.36347671663744,0.00396154956410933,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",117,224,0.577106729730009,0.131877671399405,0.114991416145902,0.538873547710603,0.600210882759632,0.675565130704854,0.75536966031689,7.91681408,14.6974786709995,0.00684145177793248,0.132703660343891,0.430104091291862,1122.946716468,1137.644195139,0.52966091866519,0.00975340837718617,0.122964238250298,1.07583916563341,0.000960592195964554,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",130,698,0.990795326307206,0.237927097895285,0.132058986469246,0.905364007038606,0.973932077938557,1.1261223425532,1.42278936559337,24.66935816,27.4517895400002,0.00785681917176456,0.319674453133145,0.683254157750516,1173.633885884,1201.085675424,0.891754610957523,0.00555794442850401,0.274528312865905,1.40622996108369,0.00506668010171724,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",146,553,0.813028186549592,0.188192727024697,0.110745516407249,0.745356848523857,0.825897897553957,0.908212906774146,1.17542194689755,19.54463476,26.1339165670001,0.00694808657815064,0.223964329616777,0.55531851308182,1219.901645561,1246.035562128,0.743078232456804,0.0061475478268295,0.198350629352016,1.36450713164796,0.00439531347486425,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",151,195,0.589154456715256,0.123853371018255,0.14213255866075,0.538450844677279,0.627933483736169,0.669961567849839,0.738064090720529,6.8918694,12.3886485319999,0.0104745423425501,0.13965293240072,0.48471050486808,1251.46711515,1263.855763682,0.54867163779876,0.0136781234085275,0.131922318693349,0.80173409961747,-0.00368974595415744,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",160,179,0.534576414322088,0.0968444686443116,0.150627515176045,0.514821869287307,0.559451856892193,0.593455594010241,0.665930806275964,6.32638268,12.283889199,0.00979115317696343,0.121380979583636,0.539587357801064,1292.560835515,1304.844724714,0.507563125833516,0.0128456394216057,0.117581447215257,1.05693093774819,0.000936221840983016,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",170,205,0.514048588274412,0.107661480081159,0.105095356985702,0.472729575555808,0.531881208071571,0.579046994988619,0.687203710855623,7.2452986,14.9326121110003,0.0089895750729164,0.115125855352755,0.361555446096471,1411.618962578,1426.551574689,0.474073612505859,0.0098274603928731,0.106268653129546,1.07065597070207,0.00150454585390434,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",179,285,0.682989053752868,0.141949695365285,0.129671911543197,0.656411894309403,0.715374637372661,0.782108703445596,0.848343992539375,10.0727322,15.699098348,0.00717501976190231,0.168800309270211,0.585005816801468,1445.124999628,1460.824097976,0.633163080156265,0.00889377904701213,0.15577981641082,1.03550113306556,0.0005333462521545,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",207,164,0.520432135079536,0.0887610925287551,0.12458775314121,0.50842669332139,0.538848083695562,0.572026546577413,0.630344607958119,5.79623888,11.4975316789998,0.01500424471272,0.122255738931035,0.522612234546509,1577.062725826,1588.560257505,0.497270820541204,0.014525170262355,0.116031284467618,0.995462024780012,-9.44072331573128e-05,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",217,411,0.590449650201986,0.162078635940238,0.190558083634958,0.503357731480031,0.567364108689262,0.716915735361057,0.882075652577664,14.52594012,26.991531009,0.00626086085477209,0.138384961989953,0.50897133843285,1602.891853581,1629.88338459,0.535219729241696,0.00478282964284766,0.120721558523806,1.09479165592772,0.00151964868088492,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",230,248,0.562194525809545,0.11668821645308,0.183115809636212,0.494381301710672,0.599826015318089,0.645961162103264,0.705774318636981,8.76504416,16.524592448,0.00726780437240771,0.127837467676632,0.451979582515238,1667.48770042,1684.012292868,0.52538925752147,0.00812181810582832,0.118962882114103,1.48456663455065,0.00635100604694778,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",250,245,0.460653027981652,0.0862962469152651,0.147355550131246,0.404971292406343,0.482851658756626,0.525064006057842,0.605743256508497,8.6590154,19.4885973089999,0.00809661243187379,0.0990335088515316,0.593489296689133,1794.157309441,1813.64590675,0.439535908877575,0.00784242078135227,0.0936681779420417,1.17030335377972,0.00322936760456953,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",261,216,0.532488964904118,0.11585401868465,0.212870402634533,0.466616961823095,0.578190353513276,0.610325300896291,0.674840325248006,7.63407072,15.202831281,0.00808065736095962,0.119849571037876,0.597839873281354,1975.685451273,1990.888282554,0.498042955321724,0.00808808199235004,0.110835074600175,0.998057268328339,-3.23802837661572e-05,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",280,624,0.766602017511933,0.201201113471144,0.121614298108417,0.628197083061879,0.785386656934783,0.907056894273378,1.14679636861502,22.05398208,31.8294761070001,0.00460213944162033,0.203529035280036,0.425323958189406,2012.934747069,2044.764223176,0.687790674841314,0.00484665755717624,0.176614780846759,1.15870783542825,0.00197272266683634,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",286,127,0.450838992923406,0.0947305311987456,0.141918789766741,0.405945281877614,0.453121143300341,0.534522632529544,0.597157231419056,4.48855084,10.3429475749999,0.011289571343182,0.0999358426091111,0.518170639382032,2126.61227045,2136.955218025,0.424247704024345,0.0135531690932166,0.0958680698970015,1.09204152700691,0.00178422807843762,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",306,180,0.562042842930608,0.11398197661712,0.150803059294704,0.537179949322935,0.59439338647588,0.633706158552801,0.717152977322747,6.3617256,11.9257205979998,0.00963294427838454,0.130019326665744,0.52679660628195,2205.268794305,2217.194514903,0.525699330232094,0.0121946968832622,0.123080685433458,1.10772867495838,0.00168379670240825,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
