"Fly","Index","Events","dom_dir","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0705mill1",75,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",76,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",77,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",78,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",79,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",80,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",81,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",82,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",83,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",84,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",85,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",86,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",87,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",88,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",89,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",90,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",91,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",92,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",93,8,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",94,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",95,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",96,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",97,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",98,16,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",99,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",100,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",101,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",102,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",103,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",104,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",105,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",106,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",107,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",108,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",109,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",110,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",111,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",112,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",113,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",114,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",115,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",116,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",117,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",118,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",119,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",120,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",121,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",122,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",123,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",124,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",125,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",126,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",127,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",128,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
