Tempmodel,Sunmodel,windspeedmodel,rainmodel,countsmodel,Windheadingmodel
0.632334421,106.595747,22.27109478,2.1,0,186.7492911
1.100112199,174.893617,21.37320944,0,0,170.541002
14.84455678,388.085107,3.840251989,0,32850,251.4929809
15.79122356,501.06383,12.20614384,0,441450,232.7925711
15.77900122,482.55319,7.405607922,0,7200,31.95094956
12.67677867,320.425524,7.684355422,0,450,220.7388552
11.3045565,0,8.592156756,1.3,39150,194.6762386
10.08566763,288.51064,8.376595444,0.1,0,37.58517489
8.652334556,0,11.98207633,1.1,0,32.62368922
10.29455661,294.89362,21.64592133,0,0,23.86512744
12.47900094,264.893618,7.961375178,0,675,28.73213867
12.70900094,190.212769,7.333703008,0,60300,63.47762867
15.10677928,540,16.63923478,0,746775,206.1728089
15.32677911,450.1276578,20.39729656,0,842625,206.4500689
14.88789,298.085107,6.9060323,0.2,202725,202.9866211
14.81122333,216.382978,5.063699822,0,115875,37.05179844
14.87233444,208.723408,4.695148867,0,3600,54.40305289
10.75789,164.234039,25.560236,3.8,0,180.1835344
6.312334333,0,31.88514756,4.2,0,200.1646578
9.304556811,211.9148984,7.114093267,0.3,12375,269.3324567
6.674556633,0,7.273557422,3.8,0,202.4277686
6.583445556,105.31915,7.850123233,0,0,204.0221386
8.594556467,100.212765,23.68106833,0,0,222.93986
6.402334489,0,28.03226089,2.6,0,229.1077733
-0.638776679,0,55.31638967,2.8,0,330.09451
-0.162110071,40.212765,54.00224033,0.8,0,192.9584013
-0.629887827,454.468091,52.23091756,0,0,194.0031739
1.91455654,277.851065,13.44294411,1.5,0,26.96926533
10.50900081,60.6383012,9.947174056,0,35550,247.6778067
10.36122322,540,12.87405139,0,623250,241.9609733
6.284556544,0,12.29932557,1,0,245.2323822
5.563445444,65.106381,13.62283768,15.8,0,241.27972
-2.5143323,0,21.286367,13.4,0,282.5671656
-2.137665589,0,25.43595111,6.9,0,244.9072344
0.00344554,273.893623,24.92229078,0,0,236.3261415
8.197890222,211.914891,21.23326533,0,0,309.4526522
7.876779122,187.2766,22.868302,0.2,0,275.4121
9.686778844,477.382975,13.76450906,0,127575,244.0012622
10.17677889,63.82979,7.212935256,0,25425,291.0788767
3.370112116,142.340426,13.51503171,1.4,0,98.96781456
-3.8143323,0,54.02696244,2.6,0,14.07527156
-3.792110044,0,55.05005622,2.5,0,13.46508944
-1.63877669,134.680851,38.99760589,0,,45.39186263
-2.092110039,273.829789,35.87564044,0,,316.9036303
-4.807665456,0,37.85844489,0.8,,21.72913467
1.205667712,533.617024,4.924562756,0,,46.76644622
2.175667712,468.063832,4.512820233,0,,46.63101533
7.694556478,497.617032,4.372177922,0,,206.9790341
7.025667667,512.617015,27.93822489,0,,209.6271011
3.235667778,0,49.10393022,26,,187.9295644
4.803445522,0,49.47684511,31,,200.5858089
5.156778911,33.19149,44.98944856,1.4,450,201.4562544
10.17566778,172.978725,6.986978122,0.1,4050,262.0422367
11.29344556,176.170215,13.87524739,0,981675,246.8999478
15.084557,469.276596,8.435035333,0,3742425,261.3495178
18.25789122,496.595736,10.33650013,0,1645875,272.6895333
18.395669,81.0000014,11.72867669,0,96300,254.5898356
15.06789011,395.744679,20.15204722,0,13050,205.4028567
10.51789,70.851067,15.22974022,0.7,225,228.1824767
10.79233411,53.489365,4.458811811,0,4050,188.7856078
11.77677878,489.319153,16.22804989,0,80100,238.0821089
12.04122322,497.936174,16.33199811,0,611775,236.7497944
14.17677867,182.872334,23.19447144,1.4,393750,210.3016044
9.821223444,79.787235,23.91205767,6,0,197.5169811
9.026778622,61.914891,13.35559514,0.7,0,205.6406056
8.802334522,0,6.978948744,0,0,254.6470144
8.982334556,404.680855,7.450671778,0,606825,257.1651389
6.742334367,0,15.62476243,16.5,0,191.6268263
2.611223233,0,19.76360478,1.4,0,31.33649889
2.5345566,0,19.22611011,2.6,0,28.40399856
2.205667751,0,19.55021722,1.4,0,33.07975944
2.857889978,296.170217,17.116803,0.1,0,37.52683944
10.04566783,38.297874,4.0431919,0.2,16200,194.238252
14.23789,329.7446744,12.21939133,0,9450,186.5051111
8.161223378,31.276594,23.90288467,9.5,0,197.3611178
9.547889767,206.936178,8.707810533,0,926325,229.4973944
9.716778656,171.76596,9.224020311,0.9,4500,228.5814567
9.583445444,93.829785,24.22977233,0,4500,211.73793
5.967890022,47.872337,9.147761467,0,225,117.3143432
9.516778878,220.212773,8.172653267,0,16200,248.2756422
9.840112167,166.595742,10.68265393,0,186525,211.5535156
9.902334456,227.489355,12.45733438,0,225,208.6430289
4.866778711,0,23.83385878,37.4,0,134.8217602
0.964556622,166.2766,15.40968172,0.1,450,29.35913244
6.444556633,67.659576,18.17100622,0.5,225,232.4846902
1.4834455,458.425535,13.18696194,0,0,38.05974844
2.2256677,538.085114,13.72037917,0,225,35.39178133
8.806778744,539.61702,7.967240633,0,0,26.40131967
9.859000922,433.404268,5.419832789,0,675,62.17031367
8.817889922,536.170214,8.205988478,0,0,30.07859444
9.327889944,540,11.20001456,0,0,30.78119078
9.322334367,535.595746,11.48215028,0,0,30.41834867
3.106778849,504.957458,16.8290115,0,0,26.30697311
9.654556511,540,5.516032267,0,199800,215.9778078
8.047890044,125.106382,11.9320388,0,0,28.53178933
8.002334067,538.085107,6.778773644,0,89100,228.1987383
8.124556356,252.127662,6.778773644,0,225,228.1987383
9.900112222,139.404253,4.574796478,0,31950,290.0535844
10.38900139,419.61702,12.37905022,0,0,221.3851467
9.655668,222.574471,20.73128422,0,225,222.4808056
4.757889976,171.702135,6.129488456,0.1,0,30.55346811
